Grade,Surface,Defect Type,Defect,Min Width,Max Width,Min Length,Max Length,Min Contrast,Min Area Pixel,uid
CPO,D,damaged,missingpart,,,,,,,72afc44f-9421-4d63-a5af-23b6c9e29d90
CPO,D,discoloration,discoloration,,,,,,,981c5a5f-11a9-48af-8ede-d760751c9174
CPO,AA,major,dent,0.8,,1.6,,16,800,31dd5fd5-5f37-4790-a96c-c2c25be5ff87
CPO,AA,major,nick,0.8,,1.6,,16,800,7cb9f3f3-a9f3-41e6-80c4-5a5fc0d5116f
CPO,AA,major,scratch,0.3,,1.6,,15.5,800,9f330e04-d721-4a38-bc43-93d1f2f6a8b3
CPO,AA,minor,dent,,,1.6,,7,200,48437627-ea6a-482c-bcc9-3448b9b6c645
CPO,AA,minor,nick,,,1.6,,7,200,0da23ed0-bf53-4f3c-af07-90df64cdc496
CPO,AA,minor,pindot,,,,,,,42fb9f68-3e82-4e90-9c52-e0cfe7bc046a
CPO,AA,minor,scratch,,,1.6,,7,200,c8426ba1-e191-42d8-9472-81cf1f73ed9b
CPO,AA,minor,grouppindot,,,,,,,d1ce0f40-8d2c-4070-b62b-7b7dfdae2e80
CPO,AA,minor,discoloration,,,,,,,e1ae8577-8553-4468-b9fb-da4f18203d09
CPO,AA,minor,differentscreen,,,,,,,aad3e1f4-a654-42b8-a90f-798602fb5ceb
CPO,AA,damaged,crack,,,,,,,19fe6366-8264-4fc8-8430-c4b3e0b257a7
CPO,AA,damaged,missingpart,,,,,,,d6245c24-1db1-42a1-af88-288c8a05a71f
CPO,AA,deep scratch,dent,0.15,,1.6,,21,500,91ec32be-038e-4db6-ab7d-2bc0c33142d6
CPO,AA,deep scratch,nick,0.15,,1.6,,21,500,5a2f781b-1747-40e6-aad2-b30512f4f083
CPO,AA,deep scratch,scratch,0.15,,1.6,,21.5,500,eb51f30b-6255-4619-87da-99168a02265d
NEW,A,damaged,crack,,,,,,,509b2403-d05b-4106-9ca1-2973d48f9376
NEW,A,damaged,missingpart,,,,,,,1f47c496-b9c0-4e8c-83e2-fcf71b9ddf9f
NEW,A,level 1,dent,,0.8,,0.8,,,d3ba523b-0a11-4fce-b4c0-c18d37f30886
NEW,A,level 1,nick,,0.8,,0.8,,,d859a06b-626a-48d4-8af5-643856450118
NEW,A,level 1,pindot,,,,0.8,,,af815750-360b-438b-8fe3-419e21144c05
NEW,A,level 1,scratch,,0.1,,5,,,f9fa5442-074e-4762-9b3a-5889be4936e7
NEW,A,level 2,dent,,1,,1,,,ccb1bc1d-b0ac-4be9-92bf-c354a7b56320
NEW,A,level 2,nick,,1,,1,,,8fd6e84b-bdac-4f35-9e1e-a8676274eb38
NEW,A,level 2,pindot,,,,1,,,a3a01e66-e581-480f-995d-d89b6ccda27e
NEW,A,level 2,scratch,,0.2,,10,,,867c5f24-4afe-48ca-b783-6727f5de6e95
NEW,A,deep scratch,dent,0.36,,,,18,250,6dae6755-04d8-435b-9e9a-e99c0a417dc4
NEW,A,deep scratch,nick,0.36,,,,18,250,aaac7f43-fd06-44a3-ad7e-f762669f383e
NEW,A,deep scratch,scratch,0.0375,,1.6,,17,500,e292bd6d-05c0-431c-a760-15f27703d63e
NEW,A,discoloration,discoloration,,,,,,,87a1912a-d4f0-4bca-bc8c-f4419cb7dfc5
NEW,A,light scratch,dent,,,,,,,b3022e8e-73be-4274-b795-f64b24bc7984
NEW,A,light scratch,nick,,,,,,,64799dec-8f0a-400d-af90-05ed03f48643
NEW,A,light scratch,pindot,,,,,,,d493357c-9e75-40ec-88bd-0fd394a04c56
NEW,A,light scratch,scratch,,,,,,,673a404e-9929-4671-84e3-e66dffb6aabf
NEW,A,light scratch,grouppindot,,,,,,,ee2c5261-2dd1-423e-842d-ae262f573c94
NEW,B,damaged,crack,,,,,,,fcedb653-013f-45e8-b460-a2428ef9a61a
NEW,B,damaged,missingpart,,,,,,,437845eb-bc76-467e-aacc-bd9b3f26041c
NEW,B,level 1,dent,,0.8,,0.8,,,8d841ff4-865a-4571-8a35-70d60fd202ab
NEW,B,level 1,nick,,0.8,,0.8,,,1dfb547f-8052-4de8-8aa8-aa387917f7d3
NEW,B,level 1,pindot,,,,0.8,,,20e653a2-ec25-47e4-b64a-e67c2ab25f24
NEW,B,level 1,scratch,,0.1,,5,,,820e4925-fc14-4929-acf3-33a1cf6f3439
NEW,B,level 2,dent,,1,,1,,,5b96f197-aaa1-42e2-8ae4-ebd4dca00e02
NEW,B,level 2,nick,,1,,1,,,5bdec882-f1de-4ebd-a1ec-5b079ccffed9
NEW,B,level 2,pindot,,,,1,,,03247b0f-07ca-40ad-9460-eefcadcbf1c0
NEW,B,level 2,scratch,,0.2,,10,,,51f9bfe5-64ee-422f-914f-129a97652791
NEW,B,deep scratch,dent,0.36,,,,18,250,a0f58e75-669f-42e6-a869-400dd7c97ce8
NEW,B,deep scratch,nick,0.36,,,,18,250,06dbb1f5-2bd9-42a0-aae3-c883f895bb84
NEW,B,deep scratch,scratch,0.0375,,1.6,,17,500,8c0937e1-2e09-4b49-b4a2-37402c5622d5
NEW,B,discoloration,discoloration,,,,,,,5abaa48c-ad3a-422b-8237-95c1555d2291
NEW,B,light scratch,dent,,,,,,,a201f5da-68a0-4071-b719-a5c3a6422258
NEW,B,light scratch,nick,,,,,,,409636c1-f262-4f35-821d-d686d1a8a98f
NEW,B,light scratch,pindot,,,,,,,dd43023c-790e-49d2-9de0-13df6ec4271f
NEW,B,light scratch,scratch,,,,,,,bfebded1-8085-443e-af0e-0d33e0e53e5e
NEW,B,light scratch,grouppindot,,,,,,,8b94b0ab-c20d-4464-9450-18b599a93d58
NEW,AA,damaged,crack,,,,,,,af73cfd0-1aa4-4ba8-a832-6a3b431c75ab
NEW,AA,damaged,missingpart,,,,,,,ff899d57-e206-49ef-97ac-1175428ffd9c
NEW,AA,level 1,dent,,0.8,,0.8,,,f0a15662-b8bc-418c-ae70-5d7f39f5710f
NEW,AA,level 1,nick,,0.8,,0.8,,,edcda67a-a392-489e-b461-5c8d8cdeedb5
NEW,AA,level 1,pindot,,,,0.8,,,861f5f24-d096-402c-b107-d2dfc2e0042c
NEW,AA,level 1,scratch,,0.1,,5,,,0a11a597-d61d-49b4-ab2e-e70270ecdc84
NEW,AA,level 2,dent,,1,,1,,,289e4e2e-f9e2-41c1-8358-dd57ef09f905
NEW,AA,level 2,nick,,1,,1,,,41edb711-6667-41f4-8919-538537df2dcc
NEW,AA,level 2,pindot,,,,1,,,d6bc2070-bccd-4911-afca-4dae3809b566
NEW,AA,level 2,scratch,,0.2,,10,,,8ea96d25-5cae-47f3-9bf1-6ce3075c81c3
NEW,AA,deep scratch,dent,0.36,,,,18,250,09803c0c-f4c0-4397-b9d2-b59154bc6bac
NEW,AA,deep scratch,nick,0.36,,,,18,250,f7ae1acc-1691-4ce8-8430-62401130abf0
NEW,AA,deep scratch,scratch,0.0375,,1.6,,17,500,73a47b6c-0fd6-4d85-a8c9-950485a223c4
NEW,AA,discoloration,discoloration,,,,,,,9b648737-2835-43a1-bb1b-8bf4386f1667
NEW,AA,light scratch,dent,,,,,,,05bb1084-3698-486c-bc67-1b2f182248c5
NEW,AA,light scratch,nick,,,,,,,b34b69c9-c3f7-45b8-9f21-84fbd4679fca
NEW,AA,light scratch,pindot,,,,,,,ae7cf6f9-bc7e-4452-a2b7-f3543d58d762
NEW,AA,light scratch,scratch,,,,,,,e8736e65-43bc-4942-b678-407925043d47
NEW,AA,light scratch,grouppindot,,,,,,,0ee66490-d424-48b0-9928-52fe0a759792
