Grade,Surface,Defect Type,Defect,Min Width,Max Width,Min Length,Max Length,Min Contrast,Min Area Pixel,uid
B,A,level 2,pindot,,,,1,,,efe6a670-5996-4264-8426-60f822673469
B,A,level 2,scratch,,0.2,,10,,,f3c977c7-61af-497f-a83b-453ef392d91a
B,A,deep scratch,dent,0.36,,,,18,250,fc823545-b615-420c-85e3-31520f5a6656
B,A,deep scratch,nick,0.36,,,,18,250,4ea84893-6fd8-4975-8d22-936560809c5d
B,A,deep scratch,scratch,0.0375,,1.6,,17,500,9a139ef1-2a78-46ae-830b-bdc416d5cf10
B,A,discoloration,discoloration,,,,,,,86ded795-360e-4cd7-aa9f-56af08cbe60e
B,A,light scratch,dent,,,,,,,619c7c62-d00c-4925-86a1-d260e507228c
B,A,light scratch,nick,,,,,,,d145a93a-fb4d-4d1b-b073-f21dc090f6ab
B,A,light scratch,pindot,,,,,,,49509756-f59f-4040-8cb3-3922fe8dc725
B,A,light scratch,scratch,,,,,,,812e0bc5-1f64-4b83-a56c-d386f44f8622
B,A,light scratch,grouppindot,,,,,,,90479f41-71a8-4010-ba9a-048b86d1cbab
B,B,damaged,crack,,,,,,,ce32bd03-bd73-40aa-b33e-9d5fea78e423
B,B,damaged,missingpart,,,,,,,140c167d-75d2-4932-ae9e-c56140c8e2a6
B,B,level 1,dent,,0.8,,0.8,,,ed07c5da-b2d7-4251-ad80-57a95b5097d7
B,B,level 1,nick,,0.8,,0.8,,,f2ad5fd9-d18b-49b0-9550-33ab534d9f48
B,B,level 1,pindot,,,,0.8,,,021e78e8-fbda-49df-b8ad-15e067e0f6df
B,B,level 1,scratch,,0.1,,5,,,fb699621-58c7-4aa1-b83d-318a9036358f
B,B,level 2,dent,,1,,1,,,63a8342b-75b9-4c4d-b6c0-513914b18985
B,B,level 2,nick,,1,,1,,,b81f8466-209e-4e20-87e3-2e627c538946
B,B,level 2,pindot,,,,1,,,0d5765f1-db00-43d0-91e2-89c1dedb7b2b
B,B,level 2,scratch,,0.2,,10,,,7c55c873-9fd4-46d0-a106-6178e46de1af
B,B,deep scratch,dent,0.36,,,,18,250,c3f06a78-cb2d-4ce8-995e-53296ca0404b
B,B,deep scratch,nick,0.36,,,,18,250,1343bddc-2db1-4bdb-b724-fc2e891c5250
B,B,deep scratch,scratch,0.0375,,1.6,,17,500,38cb0dda-a905-4f4b-96f6-2a692c7759ec
B,B,discoloration,discoloration,,,,,,,8814e178-f4de-4301-9426-23f19be72586
B,B,light scratch,dent,,,,,,,a98d8786-2485-48a0-bfa2-680c9c14095b
B,B,light scratch,nick,,,,,,,927745fe-b92c-4d2e-90a2-4f0ab05beb47
B,B,light scratch,pindot,,,,,,,071c098d-e7fe-46ac-81e3-e274c2c6a1a3
B,B,light scratch,scratch,,,,,,,2bb31592-678c-4476-b470-3fc2d6eb8b01
B,B,light scratch,grouppindot,,,,,,,0ed0207a-e67e-4491-9dd9-fd28bb912f36
B,AA,damaged,crack,,,,,,,54b90bb1-ab18-4cc6-86a4-b62bfb31c3b6
B,AA,damaged,missingpart,,,,,,,f4a47bad-feeb-47bf-8a2b-b517d8e82dc3
B,AA,level 1,dent,,0.8,,0.8,,,56360d35-14c5-4ade-9b1d-4c7b2e8dec3b
B,AA,level 1,nick,,0.8,,0.8,,,b993b629-9052-4f74-8caf-350dfb83bcd1
B,AA,level 1,pindot,,,,0.8,,,00d3067a-b80f-4afd-b182-a189762bd34d
B,AA,level 1,scratch,,0.1,,5,,,ffb494e0-cc8e-4038-b2a7-aaa718cc9467
B,AA,level 2,dent,,1,,1,,,4a03664d-8020-438e-b78b-ca496a2557ff
B,AA,level 2,nick,,1,,1,,,c58bea67-09c8-4c44-bb4e-be91f7873260
B,AA,level 2,pindot,,,,1,,,4e9a3bc4-3de0-46eb-afae-28f9de57a081
B,AA,level 2,scratch,,0.2,,10,,,f572ac58-c3e2-4540-98ae-309825f70313
B,AA,deep scratch,dent,0.36,,,,18,250,1d461b4b-cec0-48ed-9245-f8c6af210e87
B,AA,deep scratch,nick,0.36,,,,18,250,2a51bd05-e275-4830-9797-dab5c6b84b0d
B,AA,deep scratch,scratch,0.0375,,1.6,,17,500,35b018c1-c76e-4b35-8384-b06ed1860f32
B,AA,discoloration,discoloration,,,,,,,dd80b38d-d42f-47d4-97cd-9a45b18a613b
B,AA,light scratch,dent,,,,,,,5ddde3eb-116a-4592-a5e2-007f28a3eda6
B,AA,light scratch,nick,,,,,,,4ca67ade-8b6b-44d6-a609-38dd37425d9b
B,AA,light scratch,pindot,,,,,,,1124b490-c979-4e84-a431-23f069f87b16
B,AA,light scratch,scratch,,,,,,,e093d8c9-f678-4b9b-906a-6351d6f0f7af
B,AA,light scratch,grouppindot,,,,,,,311578b7-d2d8-430e-bacd-312388cfbcae
C,A,damaged,crack,,,,,,,4dbac92c-9b41-4f47-82cf-6c2155e2a126
C,A,damaged,missingpart,,,,,,,039b5443-8248-4347-9e1d-ef2ae66e50f1
C,A,level 1,dent,,0.8,,0.8,,,92dcb150-5811-422d-b51e-fc894c200f54
C,A,level 1,nick,,0.8,,0.8,,,4464a257-11ba-4c7d-a012-f0a88ae5e79b
C,A,level 1,pindot,,,,0.8,,,31dfd83d-8e32-474c-a841-ce59384a73cf
C,A,level 1,scratch,,0.1,,5,,,29a72482-ed00-45cb-b0a3-2108c92038f2
C,A,level 2,dent,,1,,1,,,501f5e78-5b1d-4f42-8bb6-ee024478078d
C,A,level 2,nick,,1,,1,,,f6938a10-92be-4877-aaae-8322cca5dda1
C,A,level 2,pindot,,,,1,,,3cac908b-f57f-4848-b95d-9d1761d5322a
C,A,level 2,scratch,,0.2,,10,,,a622841f-c6d1-431a-bcfd-8f0e79fab1af
C,A,deep scratch,dent,0.36,,,,18,250,248ec6c7-a567-45fe-85f0-4373202a75a1
C,A,deep scratch,nick,0.36,,,,18,250,b982a883-ecc2-4f3b-bcdc-120ae2060542
C,A,deep scratch,scratch,0.0375,,1.6,,17,500,2c2fee13-736b-45a5-979e-d30a482cd452
C,A,discoloration,discoloration,,,,,,,de0ab96a-6ee8-405f-a0ae-c8833099ef5f
C,A,light scratch,dent,,,,,,,b9142351-12c9-42b7-b2fb-7ba98e6a1d0d
C,A,light scratch,nick,,,,,,,a7b5315d-c190-4ded-a889-73c5bfac5c4d
C,A,light scratch,pindot,,,,,,,1cb5de02-9c48-4f71-baf9-1f99653437b8
C,A,light scratch,scratch,,,,,,,bbac60a1-92b7-4578-84d4-96bf4847ff95
C,A,light scratch,grouppindot,,,,,,,dfc0f5e5-88a4-4d8a-9cb4-8e98b568dfde
C,B,damaged,crack,,,,,,,8ca30ddb-89fd-4fec-9c0d-179df1b7d064
C,B,damaged,missingpart,,,,,,,183e08bc-90df-4a5c-9d60-cd954155a556
C,B,level 1,dent,,0.8,,0.8,,,d24e253f-0347-43a3-87f8-0e7f237120b0
C,B,level 1,nick,,0.8,,0.8,,,16916e75-06fa-44c9-9d48-a7db96b3b71f
C,B,level 1,pindot,,,,0.8,,,30a1d403-2201-4d15-86e4-e45eaec339aa
C,B,level 1,scratch,,0.1,,5,,,6110eb45-f12d-438c-a854-9ac65652bdbd
C,B,level 2,dent,,1,,1,,,9c9f637f-302a-4770-93cb-8e12d9b16d4a
C,B,level 2,nick,,1,,1,,,fd38bf64-50c8-483e-888d-a13cfbd3f33e
C,B,level 2,pindot,,,,1,,,8afa9c84-499b-4848-a308-6134a5cd76f0
C,B,level 2,scratch,,0.2,,10,,,25656e56-af09-42d1-9d2f-28bbdad0e96f
C,B,deep scratch,dent,0.36,,,,18,250,95c0e293-a21e-4f52-a679-3c3cf42c60bb
C,B,deep scratch,nick,0.36,,,,18,250,2376bf3c-dfad-42cf-8f47-80192b1bed3f
C,B,deep scratch,scratch,0.0375,,1.6,,17,500,f05612bf-538d-4856-822f-02b82c93c256
C,B,discoloration,discoloration,,,,,,,820db853-2a5c-464c-8387-1f38a86244fa
C,B,light scratch,dent,,,,,,,3960fc37-2319-4e13-b4c5-25e5ec2cac8f
C,B,light scratch,nick,,,,,,,0c80ba49-bcee-418b-92c9-59d50d6c4030
C,B,light scratch,pindot,,,,,,,8e3ab4b7-c0fd-4346-bba1-241262d36f34
C,B,light scratch,scratch,,,,,,,c59b6372-555e-4e28-8592-5b41faf27392
C,B,light scratch,grouppindot,,,,,,,c47e9512-6f5a-42d8-940a-ea13681879fc
C,AA,damaged,crack,,,,,,,981980f1-3479-4dbc-96e5-c2d7b206e0d5
C,AA,damaged,missingpart,,,,,,,41912265-9b2b-4945-889f-215ce8685411
C,AA,level 1,dent,,0.8,,0.8,,,121906b4-a2f7-405c-918d-1a663803fa56
C,AA,level 1,nick,,0.8,,0.8,,,eef88dec-2f88-4cc5-b303-839b33396a2f
C,AA,level 1,pindot,,,,0.8,,,c5da4812-f27c-4aeb-8db2-56f36b5ec618
C,AA,level 1,scratch,,0.1,,5,,,a5a098ed-98ad-4c3b-b812-e231e8055e82
C,AA,level 2,dent,,1,,1,,,5f860585-a935-413a-bab2-11e725b4ed91
C,AA,level 2,nick,,1,,1,,,6da8feef-c918-4158-ac85-1e00d550e72f
C,AA,level 2,pindot,,,,1,,,9113148c-49b7-446f-95ca-43adda8a06b1
C,AA,level 2,scratch,,0.2,,10,,,ddcb434a-6148-43ab-8fdb-423b0c8fd2c9
C,AA,deep scratch,dent,0.36,,,,18,250,f0f8bc3e-9f5d-4264-8551-7cded254661c
C,AA,deep scratch,nick,0.36,,,,18,250,d8aaaaee-894b-4439-aecd-de61a7ac7c3b
C,AA,deep scratch,scratch,0.0375,,1.6,,17,500,b8b051e4-b86f-4298-a272-3e97baff6a78
C,AA,discoloration,discoloration,,,,,,,7d249f6a-16a9-488d-aced-f2819b3ef0d4
C,AA,light scratch,dent,,,,,,,1e86bbd6-e202-406f-88fe-0cc93696ef52
C,AA,light scratch,nick,,,,,,,f6f3f375-aa64-4846-9da9-fe1fa6f005a3
C,AA,light scratch,pindot,,,,,,,57a55c09-6b2a-4971-b267-5450faaa1ee9
C,AA,light scratch,scratch,,,,,,,809801b8-16c5-4a85-9e54-107b320bda20
C,AA,light scratch,grouppindot,,,,,,,aaa21f53-2756-4269-bb48-ddb69d85f3ff
BP,A,major,dent,0.8,,1,,16,800,b6c358f0-3d01-4552-b2af-7c580ef7ac5b
BP,A,major,nick,0.8,,1,,16,800,76240d15-da73-44a7-831b-d7d9d9e05794
BP,A,major,scratch,0.3,,1,,99,600,7dcd1122-228c-43c0-9354-e251deb55b92
BP,A,minor,dent,,,,,,,ad197172-67dc-446c-b371-50e4f1582014
BP,A,minor,nick,,,,,,,14fd5db3-46c9-4efb-8362-28515e8acd43
BP,A,minor,pindot,,,,,,,f2ca48ec-bd28-4361-9928-6423697fd1ce
BP,A,minor,scratch,,,,,,,3cbdf425-59a1-4648-bcbc-dc8904cde912
BP,A,minor,grouppindot,,,,,,,d91c1de1-3a0c-4ec3-acfc-508434da93af
BP,A,minor,discoloration,,,,,,,56492fa7-d258-4c4c-9a99-a02b893460ed
BP,A,minor,differentscreen,,,,,,,06c12b47-a431-494d-abff-3287f8bef932
